ts-diff-r8 REF ENUMERATION - 2026-07-29T15:34:05Z
Full sweep, NO pattern used (git for-each-ref --format='%(objectname) %(refname)')
Both clones cloned from local path /workspace/farmtable. Zero commits authored by this leg.

############ /tmp/tsdiff/base  HEAD=e4e3d1352809428a5dfe386bb53c0b18a562332f ############
# ref count: 208  | all objects verified present in /workspace/farmtable
b4df4311e67ce9922a8e6d458f373cd546d9f69d refs/remotes/origin/fix/decomposer-terminal-self-assess  [ON-ORIGIN-PATH: YES]
4602156432fc7077fbd9b0376d8af18e77979255 refs/remotes/origin/fix/f42-kanban-dnd-deadzone  [ON-ORIGIN-PATH: YES]
79c03163afa5196e074aeebdd940112169a2a12a refs/remotes/origin/fix/f47-ready-queue-alignment  [ON-ORIGIN-PATH: YES]
e9207f13c9160290a2411890e7380e10d9806f2c refs/remotes/origin/fix/f49-reciprocal-relationship-sync  [ON-ORIGIN-PATH: YES]
93fec41e92dc168bc8d1de71f42b342c6d1950c2 refs/remotes/origin/fix/f51-dependency-view-layout  [ON-ORIGIN-PATH: YES]
c084837612669b27b48bb71572dddbe361170656 refs/remotes/origin/fix/f52-palette-search  [ON-ORIGIN-PATH: YES]
834ebe71a56c4e69958d8da4d2de6501d6539ec3 refs/remotes/origin/fix/f57-issue-76-bottlenecks  [ON-ORIGIN-PATH: YES]
de8166ba39ef6e28139ba082c9a9159ad8c55718 refs/remotes/origin/fix/f58-combined-pan-zoom-animation  [ON-ORIGIN-PATH: YES]
e49fab2424b811aa2adb3d7c2134d9f2c0d6c2ba refs/remotes/origin/fix/f60-graph-poll-redraw  [ON-ORIGIN-PATH: YES]
4426fcc8eb61d6b107ff5b3c8950bcc62b84eecf refs/remotes/origin/fix/passthrough-spinner  [ON-ORIGIN-PATH: YES]
4a4d6ed6dfaac39a3ea021f105a6be761a341988 refs/remotes/origin/fix/perf-phase1-getchildren-depth  [ON-ORIGIN-PATH: YES]
de88567d8685a39b7fb6d5299cfa47536d3975cc refs/remotes/origin/fix/periodic-redraw-v2  [ON-ORIGIN-PATH: YES]
b4ac5ac98f12272753cc2e8d27c5bbc2a650748b refs/remotes/origin/fix/tree-view-infinite-growth  [ON-ORIGIN-PATH: YES]
cf7c847f648fa0deff2a003803ae2b1de6ce2559 refs/remotes/origin/fixes-r3  [ON-ORIGIN-PATH: YES]
85f8b4d9970af4f98e1cd2cce5023e8383034a03 refs/remotes/origin/fixes-r4  [ON-ORIGIN-PATH: YES]
cc927355e5a23c45bfd983cd331eb540b0a61ad5 refs/remotes/origin/main  [ON-ORIGIN-PATH: YES]
8430eb0dfe7bd0da5572dee58b6fc90f014bc2ff refs/remotes/origin/perf-phase2-viewport-culling  [ON-ORIGIN-PATH: YES]
c68d35aec35df6c0ffbfdaff76436f5a01280c90 refs/remotes/origin/polish-r2  [ON-ORIGIN-PATH: YES]
42e1266d925d5c67cbb99060bddc603a3d25a781 refs/remotes/origin/pr-140-review  [ON-ORIGIN-PATH: YES]
